h_magnitude,albedo,diameter_m,density_kg_m3,mass_kg,strength_mpa,latitude,longitude,entry_angle_deg,entry_velocity_kms,impact_energy_mt,burst_altitude_km,surface_impact_energy_mt,blast_radius_1psi_km,blast_radius_4psi_km,thermal_radius_3rd_degree_burns_km,tsunami_runup_m,global_effects_fraction,affected_population_local,affected_population_tsunami,affected_population_global,max_affected_population
22.0,0.28346635934858655,99.37433100275231,3631.8225674205323,1866147206.9093466,6.106831333008636,-62.97428018670476,8.491908737565154,65.03527811410291,12.92777667875225,37.271074223254125,0.0,37.271074223254125,50.105095676998886,20.04203827079955,16.701698558999627,0,0.0,119961.77366184155,0.0,0.0,119961.77366184155
22.0,0.039980234688233605,264.6075985568727,3604.69084539841,34968224363.40215,0.49942062790485553,-87.87159389693053,159.78948032123122,44.281889357791016,15.049174438411416,946.4055118518415,11.541557632693308,0.0,147.27092435576574,58.90836974230629,49.09030811858858,0,0.0,1036365.8937764728,0.0,0.0,1036365.8937764728
22.0,0.15522429353788106,134.2904518068453,3239.650848220673,4108017018.2083836,1.5977594771234747,14.356613144152917,-175.1042657171772,49.11874985775356,22.409917273503233,246.5420876909895,20.179916910821568,0.0,94.05638483587623,37.62255393435049,31.35212827862541,0,0.0,422722.7789877285,0.0,0.0,422722.7789877285
22.0,0.277573704060159,100.42360798843545,5258.482606144318,2788473525.6978745,0.139591921062813,28.871934913198544,-153.67673505482412,74.23843579693036,18.415695771726718,113.01110401498507,29.399271516905202,0.0,72.52119719785587,29.008478879142345,24.17373239928529,0,0.0,251309.56393857737,0.0,0.0,251309.56393857737
22.0,0.23818022208870174,108.41069609736383,3322.6489474564723,2216662018.454552,7.955327721421135,61.43737143355361,-130.52775595071313,69.131833543698,17.546104140945097,81.55286332513981,0.0,81.55286332513981,65.04855651672399,26.019422606689595,21.68285217224133,0,0.0,202187.55198986287,0.0,0.0,202187.55198986287
22.0,0.13787438651698938,142.48960561712252,2171.432123036224,3289231448.1202335,0.6947403890351173,-38.450261014863116,87.81082048123432,31.247727909249324,21.738875853991892,185.75774363100393,22.972077882147282,0.0,85.58682218253936,34.23472887301574,28.52894072751312,0,0.0,350020.0234837442,0.0,0.0,350020.0234837442
22.0,0.049256800026001954,238.39211337710807,3352.843200777769,23784143537.07273,0.4956233881428,-48.46266529385454,28.667288324892354,45.25465059078398,19.765966978499318,1110.4575893820142,14.178295109717993,0.0,155.33115966452604,62.132463865810415,51.77705322150868,0,0.0,1152912.2559302957,0.0,0.0,1152912.2559302957
22.0,0.2496762331202734,105.88547256451456,4328.782613530153,2690751162.078554,0.3033535394651858,-36.38728471241791,158.55629077480654,47.87795115772354,15.049016425565974,72.8229214166868,28.198038585687804,0.0,62.63935707740853,25.055742830963414,20.87978569246951,0,0.0,187488.08352491047,0.0,0.0,187488.08352491047
22.0,0.058380605131687274,218.97305870336933,4306.736205477857,23676578791.90377,0.5674899776355656,73.73150599341142,167.6649323594608,66.04111369709543,13.626013508098048,525.3332709284855,15.832734219120805,0.0,121.0327482196266,48.413099287850635,40.3442494065422,0,0.0,699978.7825786171,0.0,0.0,699978.7825786171
22.0,0.12980321890454222,146.85280617003397,1858.7112124554392,3082174977.660141,9.405915418692873,49.49848237273213,79.73291681407068,15.159775243798999,17.57563103245502,113.77778438870978,0.0,113.77778438870978,72.68482512104265,29.07393004841706,24.22827504034755,0,0.0,252444.89137656052,0.0,0.0,252444.89137656052
